pair,depth_m,depth_cm,common_width_m,common_coverage_fraction,of_original_common_width_m,matched_width_m,matched_coverage_fraction,of_matched_integral_m2_per_s,piv_matched_integral_m2_per_s,of_matched_mean_u_m_per_s,piv_matched_mean_u_m_per_s,matched_integral_difference_of_minus_piv_m2_per_s,matched_mean_absolute_difference_m_per_s,matched_rms_difference_m_per_s,matched_supported_component_count,matched_longest_gap_m,of_common_integral_m2_per_s,piv_common_integral_m2_per_s,of_common_mean_u_m_per_s,piv_common_mean_u_m_per_s,common_available_at_depth,of_original_covered_integral_m2_per_s,of_original_coverage_fraction,of_original_common_integral_m2_per_s,piv_on_of_original_common_integral_m2_per_s,piv_on_of_original_common_available,piv_fraction_of_of_original_common_width,piv_own_integral_m2_per_s,piv_own_coverage_fraction,piv_own_mean_u_m_per_s,of_finite_dcor_matched_integral_m2_per_s,piv_finite_dcor_matched_integral_m2_per_s,finite_dcor_matched_coverage_fraction
80,0.0033,0.33,0.0,0.0,0.06362412269623888,0.029043338424393245,0.2509765625,0.0006975223564268304,0.0006834028160201555,0.024016603953524417,0.023530449772474208,1.4119540406674967e-05,0.001841174236873063,0.0030606358749645504,69,0.0037293002646108077,nan,nan,nan,nan,False,0.00269896568217146,0.9746093749999998,0.0015163787877473084,nan,False,0.27353463587921856,0.0007060065143525893,0.2587890625,0.023574876281118255,0.0005084916500305595,0.0005028605686596712,0.185546875
80,0.0034000000000000002,0.34,0.0,0.0,0.06362412269623888,0.035484857063266456,0.30664062500000006,0.0008255243874786534,0.0008092876310923273,0.023264131683180075,0.02280656308265345,1.623675638632617e-05,0.0017743505287102844,0.002881743933979181,63,0.003955318462466008,nan,nan,nan,nan,False,0.0025646253127091386,0.9677734374999997,0.0014495424451232593,nan,False,0.3232682060390764,0.0008416990222872029,0.31835937499999994,0.022846822652978542,0.0005734211059334289,0.0005663173288152024,0.2177734375
80,0.0035,0.35000000000000003,0.0,0.0,0.06362412269623888,0.03763202994289085,0.3251953125,0.0008376730763810465,0.0008218328632427876,0.02225957721792505,0.02183865352174662,1.5840213138258925e-05,0.0015833543521325323,0.002600314216001406,67,0.003955318462466008,nan,nan,nan,nan,False,0.002440679137192777,0.9628906249999998,0.0013865796862272772,nan,False,0.35523978685612795,0.0008657575874579088,0.34179687499999994,0.02188844199711137,0.0005862204146062922,0.0005788916661415734,0.23242187500000003
80,0.0036000000000000003,0.36000000000000004,0.0,0.0,0.06362412269623888,0.036049902557904454,0.3115234375,0.0007646821649386695,0.0007506591014558544,0.02121176787400226,0.020822777544269998,1.4023063482815085e-05,0.0016607682866069597,0.002749371624521926,69,0.003955318462466008,nan,nan,nan,nan,False,0.002333816399676443,0.9619140624999998,0.001327329582763137,nan,False,0.3232682060390764,0.0007939713993929634,0.32910156249999994,0.02084786304944044,0.0005191177982232849,0.0005127684755938911,0.2158203125
80,0.0037,0.37,0.0,0.0,0.06362412269623888,0.035823884360049255,0.3095703125,0.0007177699199957543,0.0007097643819888928,0.020036071822412713,0.019812602532304425,8.005538006861557e-06,0.0014537986059737524,0.0022833005898685974,72,0.003503282066755607,nan,nan,nan,nan,False,0.0022386722663696487,0.9638671874999998,0.0012711036808991944,nan,False,0.3161634103019539,0.0007392820919707459,0.32324218749999994,0.019763723997356118,0.0004979255087391881,0.0004901769469964259,0.2158203125
80,0.0038,0.38,0.0,0.0,0.06362412269623888,0.03548485706326645,0.306640625,0.0006826796950432263,0.0006784409701491047,0.019238620401543876,0.019119168746812274,4.238724894121558e-06,0.001390844492226407,0.002179811623739635,72,0.003503282066755607,nan,nan,nan,nan,False,0.002151693968200083,0.9677734374999997,0.0012174108250888938,nan,False,0.3197158081705152,0.0007038089691322987,0.31933593749999994,0.01904555497694647,0.00047039885546246895,0.0004642431383913558,0.21191406249999997
80,0.0039000000000000003,0.39,0.0,0.0,0.06362412269623888,0.03808406633860126,0.3291015625,0.0006923682973493964,0.0007017694714680681,0.018179999246761776,0.01842685245920729,-9.401174118671765e-06,0.0012379926317159402,0.001725461292719723,75,0.003503282066755607,nan,nan,nan,nan,False,0.0020747222613086915,0.9746093749999998,0.0011660213013587042,nan,False,0.36056838365896987,0.0007214897541488602,0.3388671875,0.018398706062107695,0.0005178615197385035,0.0005234783475805959,0.24609375
80,0.004,0.4,0.0,0.0,0.06362412269623888,0.03763202994289085,0.3251953125,0.0006546899510028774,0.0006682208578114412,0.01739714684529146,0.017756705094716163,-1.3530906808563773e-05,0.0011600050561812315,0.0016792419991290498,76,0.003503282066755607,nan,nan,nan,nan,False,0.0019967483219462344,0.9794921874999998,0.0011168399594850085,nan,False,0.3570159857904086,0.0006828361665113673,0.3330078125,0.017719388263499353,0.0005007226659877499,0.0005102032222972896,0.24804687499999997
80,0.0041,0.41000000000000003,0.0,0.0,0.06362412269623888,0.040344248317153254,0.34863281249999994,0.0006817588546421657,0.0006878533556454161,0.016898539025507156,0.017049601475731545,-6.094501003250387e-06,0.0012476307868183388,0.0019627941614716988,73,0.005763464045307614,nan,nan,nan,nan,False,0.00191016251076676,0.9814453124999998,0.0010696941790505497,nan,False,0.374777975133215,0.0007018623811346333,0.3564453125,0.017015538142441902,0.0005252689623259801,0.0005282796668769416,0.26953124999999994
80,0.004200000000000001,0.42000000000000004,0.0,0.0,0.06362412269623888,0.038762120932166855,0.3349609375,0.0006237548509806024,0.0006267913331090256,0.016091865872668948,0.01617020219832401,-3.03648212842322e-06,0.0011268482313476164,0.0017944241027974463,73,0.005763464045307614,nan,nan,nan,nan,False,0.0018309052196369816,0.9873046874999997,0.0010241905842352961,nan,False,0.36589698046181174,0.0006409801018618537,0.34277343749999994,0.016159354898745742,0.0004753685474706673,0.0004776028967750671,0.255859375
80,0.0043,0.43,0.0,0.0,0.06362412269623888,0.04034424831715326,0.3486328125,0.000615246131518207,0.0006077631401770569,0.015249909396790553,0.015064430879944113,7.482991341150073e-06,0.0012972006037421603,0.0021746984073530585,73,0.0032772638689004064,nan,nan,nan,nan,False,0.001743699214841589,0.9873046874999997,0.000980058151919539,nan,False,0.3978685612788633,0.0006220535232337975,0.3564453125,0.015080699202191157,0.0004911732534499938,0.00048520839559938115,0.2783203125
80,0.0044,0.44,0.0,0.0,0.06362412269623888,0.041700357504284455,0.36035156249999994,0.0006004740500933246,0.0005944193828991225,0.014399733863951396,0.014254539252764188,6.054667194202142e-06,0.0010472068300202077,0.0015553830463008352,75,0.002825227473190005,nan,nan,nan,nan,False,0.00166075823215372,0.9873046874999997,0.0009374154302548339,nan,False,0.4085257548845471,0.0006082476888972909,0.3681640625,0.014276630028276784,0.0004976741947169265,0.0004921052870319384,0.29882812499999994
80,0.0045000000000000005,0.45000000000000007,0.0,0.0,0.06362412269623888,0.041813366603212054,0.36132812499999994,0.0005767813835899304,0.0005709595346410612,0.013794186654791454,0.013654952495434816,5.8218489488691405e-06,0.0010746088231678498,0.0019832672516603873,71,0.0032772638689004064,nan,nan,nan,nan,False,0.0015780173101433265,0.9843749999999998,0.0008965930598471625,nan,False,0.42095914742451157,0.0005879636102529209,0.37109374999999994,0.01369157592833818,0.00047679255090893454,0.0004714472511576077,0.29980468749999994
80,0.0046,0.45999999999999996,0.0,0.0,0.06362412269623888,0.04090929381179126,0.353515625,0.0005391973925964506,0.0005374708643589219,0.01318031533560812,0.013138111521348408,1.726528237528768e-06,0.0009437798244446143,0.0017295755454658109,69,0.0053114276495972125,nan,nan,nan,nan,False,0.0015034596773964752,0.9824218749999998,0.0008577334645927512,nan,False,0.4014209591474246,0.0005534792653466176,0.36328124999999994,0.01316573180044648,0.00046943040803967123,0.0004666866321209134,0.30859374999999994
80,0.0047,0.47000000000000003,0.0,0.0,0.06362412269623888,0.04305646669141566,0.3720703125,0.0005447433589545378,0.0005441692873157972,0.012651836084430622,0.012638503089810906,5.7407163874066e-07,0.0008834874072212346,0.0016729336754185912,66,0.0053114276495972125,nan,nan,nan,nan,False,0.0014369567358167397,0.9824218749999998,0.0008205397344489116,nan,False,0.42451154529307294,0.0005591609279299634,0.38183593749999994,0.012654548289791349,0.0004756664938183984,0.0004742668776579659,0.32617187500000006
80,0.0048000000000000004,0.48000000000000004,0.0,0.0,0.06362412269623888,0.04768983974744727,0.412109375,0.0005794855948239256,0.0005808541820789015,0.012151133195094123,0.012179830864497577,-1.3685872549759484e-06,0.0008560720901589328,0.0014531854357210012,62,0.003503282066755607,nan,nan,nan,nan,False,0.0013723520857551923,0.9814453124999998,0.0007844380211231209,nan,False,0.41918294849023097,0.0006006223824695067,0.42578125,0.012189941206429775,0.0005122659462533453,0.0005147239516054979,0.36816406249999994
80,0.0049,0.49,0.0,0.0,0.06362412269623888,0.04949798533028887,0.42773437499999994,0.0005714107103845478,0.0005733282572171664,0.011544120565143274,0.011582860461723372,-1.9175468326186173e-06,0.0007682075671123931,0.0011002047017606544,59,0.0025992092753348043,nan,nan,nan,nan,False,0.001312564470048887,0.9824218749999998,0.000748927562474527,nan,False,0.41918294849023097,0.0005912381764713029,0.44042968749999994,0.011600387985980502,0.0004896503131087626,0.0004934113096104066,0.37011718749999994
