depth_mm,pair_80_optical_flow_mean_cm_per_s,pair_80_piv_mean_cm_per_s,pair_80_matched_coverage_percent,pair_100_optical_flow_mean_cm_per_s,pair_100_piv_mean_cm_per_s,pair_100_matched_coverage_percent
6.299999999999999822e+00,6.064421226583062152e-01,6.091080581907843960e-01,4.511718750000000000e+01,1.041358172751620792e+00,1.009449024421689156e+00,4.189453124999999289e+01
6.400000000000000355e+00,5.801925798942784152e-01,5.817640023187518050e-01,4.501953124999999289e+01,1.012141933059647503e+00,9.914462899587845879e-01,4.218750000000000000e+01
6.500000000000000888e+00,5.554831131923736454e-01,5.588321981910138181e-01,4.697265625000000000e+01,9.629147049334686459e-01,9.542263971202626927e-01,4.179687499999999289e+01
6.599999999999999645e+00,5.331763694085677185e-01,5.260063726918873250e-01,4.462890624999999289e+01,9.377278695833060063e-01,9.411179488572494201e-01,4.101562500000000000e+01
6.700000000000000178e+00,5.102320330689671390e-01,5.031003272855048003e-01,4.355468750000000000e+01,8.986736177084722055e-01,8.958893980000280921e-01,4.218750000000000000e+01
6.800000000000000711e+00,4.835117574891185654e-01,4.779379494636193382e-01,4.218749999999999289e+01,8.522587835670718537e-01,8.434429533810114954e-01,4.111328124999999289e+01
6.900000000000000355e+00,4.603185145187906890e-01,4.439857635701293659e-01,4.277343749999999289e+01,8.218310363006914310e-01,8.122975404574079850e-01,4.121093750000000000e+01
7.000000000000000000e+00,4.395470309453882729e-01,4.193057216648062302e-01,4.511718749999999289e+01,7.843318491969042405e-01,7.751181071187183136e-01,4.111328125000000000e+01
7.100000000000000533e+00,4.210707601129632938e-01,4.117364607155467593e-01,4.414062499999999289e+01,7.520748166409338964e-01,7.504713645049895243e-01,3.847656250000000000e+01
7.200000000000001066e+00,4.038578280300986756e-01,3.971820758602332968e-01,4.287109374999999289e+01,7.091777402535073271e-01,7.217417698281979321e-01,3.779296874999999289e+01
7.299999999999999822e+00,3.880900028738364371e-01,3.801944765436224838e-01,4.257812500000000000e+01,6.732873553918213849e-01,6.912230093676797749e-01,3.505859375000000000e+01
7.400000000000000355e+00,3.708468822879847915e-01,3.671183791324706402e-01,4.111328125000000000e+01,6.280115886631630895e-01,6.333815066915663428e-01,3.798828124999999289e+01
7.500000000000000888e+00,3.636476286998980845e-01,3.626319850186173199e-01,4.179687499999999289e+01,5.990293876021473007e-01,5.963512898739868895e-01,4.013671875000000000e+01
7.599999999999999645e+00,3.502692770141412892e-01,3.469708303006042160e-01,4.433593749999999289e+01,5.808425135399523098e-01,5.755035490540529874e-01,4.638671875000000000e+01
7.700000000000000178e+00,3.350041459114973530e-01,3.309442363289453737e-01,4.697265624999999289e+01,5.453774732446128315e-01,5.487865587703237846e-01,4.785156249999999289e+01
7.800000000000000711e+00,3.233981131314332402e-01,3.219299832622863344e-01,4.511718750000000000e+01,5.250342132802295891e-01,5.247193576187082487e-01,4.765624999999999289e+01
7.900000000000000355e+00,3.100909813701142603e-01,3.102063317417226851e-01,4.277343749999999289e+01,4.997689815797434210e-01,4.978190816412890185e-01,4.873046874999998579e+01
8.000000000000000000e+00,3.054854014809972873e-01,3.024413649673547422e-01,4.658203124999998579e+01,4.765298180914783188e-01,4.769884045905837811e-01,4.941406250000000000e+01
8.099999999999999645e+00,2.956974250615530542e-01,2.924043552515427913e-01,4.726562499999999289e+01,4.564613146727507509e-01,4.615419292507388915e-01,5.097656249999998579e+01
8.200000000000001066e+00,2.799433125861550131e-01,2.832294999073834418e-01,4.287109375000000000e+01,4.330930574636941421e-01,4.383889019871593518e-01,4.853515624999999289e+01
8.300000000000000711e+00,2.763011681670948239e-01,2.788241121762140562e-01,4.570312499999999289e+01,4.106222191125683540e-01,4.156657706213607861e-01,4.550781250000000000e+01
8.400000000000000355e+00,2.731568351616772139e-01,2.847112777385386040e-01,4.472656249999999289e+01,3.930313362817359213e-01,3.900029476586887034e-01,4.355468750000000000e+01
